name,city,website,body_comp_score,bone_density_score,blut_score,enrichment_status
Labor Dr. Wisplinghoff,Köln,https://www.wisplinghoff.de,0,0,0,success
MVZ Labor Dr. Quade & Kollegen GmbH,Köln,https://www.lab-quade.de,0,0,0,success
Praxis für Labormedizin und Mikrobiologie,Bochum,https://medlab-bochum.de,0,0,0,success
LIS - Labor im Sommershof,Köln,https://lis.koeln,0,0,0,success
Labmed Dortmund GmbH,Dortmund,http://www.labmed.de,0,0,0,success
Praxis für Labormedizin und Mikrobiologie ÜbaG GbR,Wuppertal,http://www.medlab-wuppertal.de,0,0,0,success
Dr. Wisplinghoff MPU,Essen,https://mpu.wisplinghoff.de,0,0,0,success
Prof. Dr. med. habil. Heiner Trobisch,Duisburg,https://www.mvz-trobisch.de,0,0,0,success
MVZ amedes für Praenatal-Medizin und Genetik GmbH,Düsseldorf,http://www.praenatal.de,0,0,6,success
MVZ MEDICOVER Köln,Köln,http://www.medicover.de/de/facilities/medicover-koeln-mvz,0,0,0,success
Praxis für Endokrinologie Köln,Köln,https://endokonsilamkattenbug.de,0,0,0,failed
Meinkabtest GmbH,Köln,https://www.meinlabtest.de,0,0,0,success
Endokonsil | Praxis am Kortumhaus,Bochum,https://www.endokonsil-gruppe.de,0,2,0,success
Endokrinologische Gemeinschaftspraxis am Aachener Platz GbR,Düsseldorf,http://www.endo-duesseldorf.de,0,0,0,success
Medizinisches Versorgungszentrum für Labormedizin und Mikrobiologie Ruhr GmbH (mvzlm Ruhr),Essen,http://www.mvzlm.de,0,0,2,success
BMA-Labor,Bochum,http://www.bma-labor.de,0,0,0,success
MVZ Labor Bochum Mlb GmbH,Bochum,https://labor-augsburg-mvz.de/laborgruppe/mvz-labor-bochum-mlb,0,0,0,success
Ärztliche Laborgemeinschaft Dortmund GbR,Dortmund,http://laborzentrum-rosental.de,0,0,1,success
BIO-LABOR Hemer,Hemer,https://www.biolabor-hemer.de,0,0,0,success
Eurofins Medizinisches Labor Iserlohn,Iserlohn,http://www.gelamed.de,0,0,0,success
Institut für Medizinische Laboratoriumsdiagnostik (IML) Bochum GmbH,Bochum,http://www.iml-bochum.de,0,0,0,success
Institut für Laboranalytik Essen-Nord GmbH,Essen,https://www.google.com/maps/search/?api=1&query=Institut%20f%C3%BCr%20Laboranalytik%20Essen-Nord%20GmbH&query_place_id=ChIJ3TOsCGrouEcRH1LF6bPymzo,0,0,0,success
MVZ Labor Limbach Aachen,Würselen,https://www.labor-aachen.de/unser-labor,0,0,0,success
MVZ Laboratoriumsmedizin Dres. med. Wisplinghoff und Kollegen,Aachen,https://www.wisplinghoff.de/das-labor/standort-aachen,0,0,0,success
Labor Amedes,Aachen,https://www.google.com/maps/search/?api=1&query=Labor%20Amedes&query_place_id=ChIJ5RTgo9-ZwEcRrgox4c37L90,0,0,0,success
Bioscientia Labor Stuttgart,Leinfelden-Echterdingen,https://labor-stuttgart.bioscientia.de,0,0,3,success
Bioscientia MVZ Labor Karlsruhe GmbH,Karlsruhe,http://labor-karlsruhe.bioscientia.de,0,0,3,success
Med Laborunion GmbH,Reichshof,https://www.laborunion.de,0,0,0,success
City Labor,Leipzig,http://city-labor.de,0,0,0,success
Bioscientia MVZ Labor Mittelhessen GmbH,Gießen,https://ldm-labor.de,0,0,9,success
Laborgemeinschaft,Hannover,https://www.google.com/maps/search/?api=1&query=Laborgemeinschaft&query_place_id=ChIJvZeeHkFzsEcRKWUF84c7vOU,0,0,0,success
Med Laborunion GmbH,Köln,https://www.google.com/maps/search/?api=1&query=Med%20Laborunion%20GmbH&query_place_id=ChIJhV5LywElv0cRQ6E_5YCHwCM,0,0,0,success
MPU - Labor Dr. Wisplinghoff,Köln,https://mpu.wisplinghoff.de,0,0,0,success
MVZ Gerinnungsdiagnostik und Medizinische Genetik Essen GbR - ZOTZ | KLIMAS,Essen,http://www.zotzklimas.de,0,0,0,success
Laborarztpraxis Rhein-Main MVZ GbR,Frankfurt am Main,https://www.laborarztpraxis.de,0,0,0,success
BMP Labor für medizinische Materialprüfung GmbH,Aachen,https://www.google.com/maps/search/?api=1&query=BMP%20Labor%20f%C3%BCr%20medizinische%20Materialpr%C3%BCfung%20GmbH&query_place_id=ChIJ7YwpFouZwEcReb1urrQ76hs,0,0,0,success
"Mikrobiologisches Labor für Umwelt, Lebensmittel und Industrie",Dachau,http://www.micdac.de,0,0,0,success
MVZ Labor Frankfurt-West GmbH,Frankfurt am Main,https://www.google.com/maps/search/?api=1&query=MVZ%20Labor%20Frankfurt-West%20GmbH&query_place_id=ChIJjaJlW0IJvUcRssJ93JTAhDg,0,0,0,success
Labor Dr. Heidrich & Kollegen MVZ GmbH,Hamburg,http://www.labor-heidrich.de,0,0,0,success
MVZ Labor Ravensburg Labor Dr. Gärtner,Ravensburg,http://www.labor-gaertner.de,0,0,0,success
