id;name;categories;street;postalCode;city;country;phone;website;bookingUrl;price;currency;verified;selfPay
"dexa-at-001";"DZAM Diagnosezentrum Amstetten";"dexa_body_composition";"Agathastraße 15";"3300";"Amstetten";"AT";"+43747264491";"https://dzam.at/koerperfettmessung-mittels-dexa-methode";"";"75";"EUR";"ja";"ja"
"dexa-at-002";"Radiologie Baden";"dexa_body_composition";"Elisabethstraße 3";"2500";"Baden bei Wien";"AT";"+43225248149";"https://www.dzbaden.at/untersuchungen/ganzkoerperfettmessung";"https://www.dzbaden.at/termine-befundabfrage/login-patienten/";"70";"EUR";"ja";"ja"
"dexa-at-003";"Diagnostikum Deutschlandsberg";"dexa_body_composition";"Frauentaler Straße 44";"8530";"Deutschlandsberg";"AT";"+4334622613";"https://diagnostikum.at/en/service/bone-density-body-fat-measurement-dexa";"";"80";"EUR";"ja";"ja"
"dexa-at-004";"Diagnostikum Graz";"dexa_body_composition";"Weblinger Gürtel 25";"8054";"Graz";"AT";"+433162477";"https://diagnostikum.at/en/service/bone-density-body-fat-measurement-dexa";"";"80";"EUR";"ja";"ja"
"dexa-at-005";"Dr. Max Chaimowicz";"dexa_body_composition";"Alleestraße 32";"6345";"Kössen";"AT";"+43537520004";"https://www.chaimowicz.at/dxa-bodyscan";"https://www.chaimowicz.at/kontakt-ordinationen-termine/";"89";"EUR";"ja";"ja"
"dexa-at-006";"Diagnostikum Linz";"dexa_body_composition";"Saporoshjestraße 3";"4030";"Linz";"AT";"+43732313480";"https://diagnostikum.at/en/service/bone-density-body-fat-measurement-dexa";"";"80";"EUR";"ja";"ja"
"dexa-at-007";"Diagnostikum Schladming";"dexa_body_composition";"Salzburger Straße 777";"8970";"Schladming";"AT";"+43368723561";"https://diagnostikum.at/en/service/bone-density-body-fat-measurement-dexa";"";"80";"EUR";"ja";"ja"
"dexa-at-008";"Diagnosezentrum Meidling (Diagnostikum)";"dexa_body_composition";"Meidlinger Hauptstraße 7-9";"1120";"Wien";"AT";"+4318133381";"https://diagnostikum.at/de/locations/diagnosezentrum-meidling";"";"80";"EUR";"ja";"ja"
"dexa-at-009";"Radiologie Währing";"dexa_body_composition";"Währinger Straße 138";"1180";"Wien";"AT";"+4314706862";"https://www.radiologiewaehring.at/unsere-leistungen";"https://www.radiologiewaehring.at/termin-vereinbaren/";"";"";"ja";"ja"
"dexa-ch-001";"Longevity Center / Seegarten Klinik";"dexa_body_composition";"Beethovenstrasse 1";"8002";"Zürich";"CH";"+41432430459";"https://longevity-center.eu";"";"290";"CHF";"ja";"ja"
